,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
ACCESS-CM2,5.508840084075928,,,,,,,,,,,,,,,,,,,
ACCESS-ESM1-5,4.911489486694336,,,,,,,,,,,,,,,,,,,
AWI-CM-1-1-MR,3.137547492980957,,,,,,,,,,,,,,,,,,,
AWI-ESM-1-1-LR,,,,,,,,,,,,,,,,,,,,
BCC-CSM2-MR,3.578799247741699,,,,,,,,,,,,,,,,,,,
BCC-ESM1,3.517580509185791,,,,,,,,,,,,,,,,,,,
CAMS-CSM1-0,2.3140389919281006,,,,,,,,,,,,,,,,,,,
CAS-ESM2-0,3.6685914993286133,,,,,,,,,,,,,,,,,,,
CESM2,5.864808559417725,,,,,,,,,,,,,,,,,,,
CESM2-FV2,,6.657691955566406,,,,,,,,,,,,,,,,,,
CESM2-WACCM,5.565873146057129,,,,,,,,,,,,,,,,,,,
CESM2-WACCM-FV2,,5.596738338470459,,,,,,,,,,,,,,,,,,
CIESM,6.255797386169434,,,,,,,,,,,,,,,,,,,
CMCC-CM2-HR4,,,,,,,,,,,,,,,,,,,,
CMCC-CM2-SR5,3.5008795261383057,,,,,,,,,,,,,,,,,,,
CMCC-ESM2,3.5308525562286377,,,,,,,,,,,,,,,,,,,
CNRM-CM6-1,4.675098896026611,,,,,,,,,,,,,,,,,,,
CNRM-CM6-1-HR,4.098618984222412,,,,,,,,,,,,,,,,,,,
CNRM-ESM2-1,4.872503757476807,,,,,,,,,,,,,,,,,,,
CanESM5,5.799001693725586,5.779869079589844,,,,,,,,,,,,,,,,,,
CanESM5-1,4.2191691398620605,5.749825477600098,,,,,,,,,,,,,,,,,,
CanESM5-CanOE,,,,,,,,,,,,,,,,,,,,
E3SM-1-0,5.66904354095459,,,,,,,,,,,,,,,,,,,
E3SM-1-1,,,,,,,,,,,,,,,,,,,,
E3SM-1-1-ECA,,,,,,,,,,,,,,,,,,,,
E3SM-2-0,4.120962619781494,,,,,,,,,,,,,,,,,,,
EC-Earth3,4.212000846862793,,,,,,,,,,,,,,,,,,,
EC-Earth3-AerChem,3.890967607498169,,,,,,,,,,,,,,,,,,,
EC-Earth3-CC,4.187871932983398,,,,,,,,,,,,,,,,,,,
EC-Earth3-Veg,4.425430774688721,,,,,,,,,,,,,,,,,,,
EC-Earth3-Veg-LR,4.37469482421875,,,,,,,,,,,,,,,,,,,
FGOALS-f3-L,3.1671721935272217,,,,,,,,,,,,,,,,,,,
FGOALS-g3,2.839895486831665,,,,,,,,,,,,,,,,,,,
FIO-ESM-2-0,4.706216812133789,,,,,,,,,,,,,,,,,,,
GFDL-CM4,4.36039400100708,,,,,,,,,,,,,,,,,,,
GFDL-ESM4,2.858097791671753,,,,,,,,,,,,,,,,,,,
GISS-E2-1-G,2.642394781112671,,,,,2.7138023376464844,2.6711368560791016,,,,,,,,,,,,,
GISS-E2-1-G-CC,,,,,,,,,,,,,,,,,,,,
GISS-E2-1-H,,3.118914842605591,,,,,,,,,,,,,,,,,,
GISS-E2-2-G,2.3590610027313232,2.099409580230713,,,,,,,,,,,,,,,,,,
GISS-E2-2-H,,,,,,,,,,,,,,,,,,,,
HadGEM3-GC31-LL,5.649328708648682,,,,,,,,,,,,,,,,,,,
HadGEM3-GC31-MM,5.296485900878906,,,,,,,,,,,,,,,,,,,
IITM-ESM,2.373215675354004,,,,,,,,,,,,,,,,,,,
INM-CM4-8,1.8874413967132568,,,,,,,,,,,,,,,,,,,
INM-CM5-0,2.049083709716797,,,,,,,,,,,,,,,,,,,
IPSL-CM5A2-INCA,4.092932224273682,,,,,,,,,,,,,,,,,,,
IPSL-CM6A-LR,4.8986310958862305,,,,,,,,,,,,,,,,,,,
IPSL-CM6A-LR-INCA,,,,,,,,,,,,,,,,,,,,
KACE-1-0-G,5.54911994934082,,,,,,,,,,,,,,,,,,,
KIOST-ESM,4.6293535232543945,,,,,,,,,,,,,,,,,,,
MCM-UA-1-0,,,,,,,,,,,,,,,,,,,,
MIROC-ES2H,,,,,,,,,,,,,,,,,,,,
MIROC-ES2L,2.5544869899749756,,,,,,,,,,,,,,,,,,,
MIROC6,2.5321977138519287,,,,,,,,,,,,,,,,,,,
MPI-ESM-1-2-HAM,3.1537246704101562,,,,,,,,,,,,,,,,,,,
MPI-ESM1-2-HR,3.2974042892456055,,,,,,,,,,,,,,,,,,,
MPI-ESM1-2-LR,,3.057785749435425,,,,,,,,,,,,,,,,,,
MRI-ESM2-0,3.4764962196350098,3.423527956008911,,,,,,,,,,,,,,,,,,
NESM3,4.6103925704956055,,,,,,,,,,,,,,,,,,,
NorCPM1,,3.384612798690796,,,,,,,,,,,,,,,,,,
NorESM2-LM,2.887202739715576,,,,,,,,,,,,,,,,,,,
NorESM2-MM,2.7833139896392822,,,,,,,,,,,,,,,,,,,
SAM0-UNICON,4.283208847045898,,,,,,,,,,,,,,,,,,,
TaiESM1,4.646286487579346,,,,,,,,,,,,,,,,,,,
UKESM1-0-LL,5.5416951179504395,,,,,,,,,,,,,,,,,,,
UKESM1-1-LL,5.364933490753174,,,,,,,,,,,,,,,,,,,
