,0
ACCESS-CM2,0.030348456485737012
ACCESS-ESM1-5,0.04521794986705011
AWI-CM-1-1-MR,
AWI-ESM-1-1-LR,
BCC-CSM2-MR,
BCC-ESM1,
CAMS-CSM1-0,
CAS-ESM2-0,
CESM2,0.03384245872668455
CESM2-FV2,
CESM2-WACCM,
CESM2-WACCM-FV2,
CIESM,
CMCC-CM2-HR4,
CMCC-CM2-SR5,0.053216746859978875
CMCC-ESM2,
CNRM-CM6-1,0.03678730161969162
CNRM-CM6-1-HR,
CNRM-ESM2-1,0.0591712054676248
CanESM5,0.036903487206208514
CanESM5-1,0.03949431222195544
CanESM5-CanOE,
E3SM-1-0,
E3SM-1-1,
E3SM-1-1-ECA,
E3SM-2-0,
EC-Earth3,0.07040025417326745
EC-Earth3-AerChem,
EC-Earth3-CC,0.0675063306059999
EC-Earth3-Veg,
EC-Earth3-Veg-LR,
FGOALS-f3-L,
FGOALS-g3,
FIO-ESM-2-0,
GFDL-CM4,
GFDL-ESM4,
GISS-E2-1-G,0.027499687318681524
GISS-E2-1-G-CC,
GISS-E2-1-H,0.04233836141682819
GISS-E2-2-G,0.03350881402968862
GISS-E2-2-H,
HadGEM3-GC31-LL,
HadGEM3-GC31-MM,
IITM-ESM,
INM-CM4-8,
INM-CM5-0,0.02828855684319856
IPSL-CM5A2-INCA,
IPSL-CM6A-LR,0.04436928278384817
IPSL-CM6A-LR-INCA,
KACE-1-0-G,
KIOST-ESM,
MCM-UA-1-0,
MIROC-ES2H,
MIROC-ES2L,0.026701588012032634
MIROC6,0.028238208658029007
MPI-ESM-1-2-HAM,
MPI-ESM1-2-HR,0.035803000680373454
MPI-ESM1-2-LR,0.02596067170853549
MRI-ESM2-0,0.026535936110322553
NESM3,
NorCPM1,0.02641084872879461
NorESM2-LM,
NorESM2-MM,
SAM0-UNICON,
TaiESM1,
UKESM1-0-LL,0.042366624369152235
UKESM1-1-LL,
