,Variable,Statistic,Scenario,Model,Strategy,Value
0,tas,ts_mean_yr,ssp119,CAMS-CSM1-0,All Models,0.3658323287963867
1,tas,ts_mean_yr,ssp119,CAMS-CSM1-0,Model Subset,0.3658323287963867
2,tas,ts_mean_yr,ssp119,CNRM-ESM2-1,All Models,0.9935455322265625
3,tas,ts_mean_yr,ssp119,CNRM-ESM2-1,Model Subset,0.9935455322265625
4,tas,ts_mean_yr,ssp119,CanESM5,All Models,1.000112533569336
5,tas,ts_mean_yr,ssp119,EC-Earth3,All Models,0.8962392807006836
6,tas,ts_mean_yr,ssp119,EC-Earth3-Veg,All Models,0.7925148010253906
7,tas,ts_mean_yr,ssp119,EC-Earth3-Veg-LR,All Models,0.9099454879760742
8,tas,ts_mean_yr,ssp119,FGOALS-g3,All Models,0.13980674743652344
9,tas,ts_mean_yr,ssp119,FGOALS-g3,Model Subset,0.13980674743652344
10,tas,ts_mean_yr,ssp119,GFDL-ESM4,All Models,0.4056539535522461
11,tas,ts_mean_yr,ssp119,GFDL-ESM4,Model Subset,0.4056539535522461
12,tas,ts_mean_yr,ssp119,GISS-E2-1-G,All Models,0.9217319488525391
13,tas,ts_mean_yr,ssp119,GISS-E2-1-G,Model Subset,0.9217319488525391
14,tas,ts_mean_yr,ssp119,GISS-E2-1-H,All Models,1.0366716384887695
15,tas,ts_mean_yr,ssp119,GISS-E2-1-H,Model Subset,1.0366716384887695
16,tas,ts_mean_yr,ssp119,IPSL-CM6A-LR,All Models,0.8083133697509766
17,tas,ts_mean_yr,ssp119,MIROC-ES2L,All Models,0.6393680572509766
18,tas,ts_mean_yr,ssp119,MIROC-ES2L,Model Subset,0.6393680572509766
19,tas,ts_mean_yr,ssp119,MIROC6,All Models,0.5264139175415039
20,tas,ts_mean_yr,ssp119,MIROC6,Model Subset,0.5264139175415039
21,tas,ts_mean_yr,ssp119,MPI-ESM1-2-LR,All Models,0.3099985122680664
22,tas,ts_mean_yr,ssp119,MPI-ESM1-2-LR,Model Subset,0.3099985122680664
23,tas,ts_mean_yr,ssp119,MRI-ESM2-0,All Models,0.6855020523071289
24,tas,ts_mean_yr,ssp119,MRI-ESM2-0,Model Subset,0.6855020523071289
25,tas,ts_mean_yr,ssp119,UKESM1-0-LL,All Models,1.5401153564453125
26,tas,ts_mean_yr,ssp126,ACCESS-CM2,All Models,1.731093406677246
27,tas,ts_mean_yr,ssp126,ACCESS-CM2,Model Subset,1.731093406677246
28,tas,ts_mean_yr,ssp126,ACCESS-ESM1-5,All Models,1.3438749313354492
29,tas,ts_mean_yr,ssp126,ACCESS-ESM1-5,Model Subset,1.3438749313354492
30,tas,ts_mean_yr,ssp126,AWI-CM-1-1-MR,All Models,0.9677038192749023
31,tas,ts_mean_yr,ssp126,AWI-CM-1-1-MR,Model Subset,0.9677038192749023
32,tas,ts_mean_yr,ssp126,BCC-CSM2-MR,All Models,0.9484367370605469
33,tas,ts_mean_yr,ssp126,BCC-CSM2-MR,Model Subset,0.9484367370605469
34,tas,ts_mean_yr,ssp126,CAMS-CSM1-0,All Models,0.6997699737548828
35,tas,ts_mean_yr,ssp126,CAMS-CSM1-0,Model Subset,0.6997699737548828
36,tas,ts_mean_yr,ssp126,CAS-ESM2-0,All Models,1.7494430541992188
37,tas,ts_mean_yr,ssp126,CESM2,All Models,1.426565170288086
38,tas,ts_mean_yr,ssp126,CESM2-WACCM,All Models,1.441080093383789
39,tas,ts_mean_yr,ssp126,CESM2-WACCM,Model Subset,1.441080093383789
40,tas,ts_mean_yr,ssp126,CIESM,All Models,0.9818534851074219
41,tas,ts_mean_yr,ssp126,CMCC-CM2-SR5,All Models,1.6611051559448242
42,tas,ts_mean_yr,ssp126,CMCC-CM2-SR5,Model Subset,1.6611051559448242
43,tas,ts_mean_yr,ssp126,CMCC-ESM2,All Models,1.8555173873901367
44,tas,ts_mean_yr,ssp126,CMCC-ESM2,Model Subset,1.8555173873901367
45,tas,ts_mean_yr,ssp126,CNRM-CM6-1,All Models,1.3515024185180664
46,tas,ts_mean_yr,ssp126,CNRM-CM6-1,Model Subset,1.3515024185180664
47,tas,ts_mean_yr,ssp126,CNRM-CM6-1-HR,All Models,1.6595649719238281
48,tas,ts_mean_yr,ssp126,CNRM-CM6-1-HR,Model Subset,1.6595649719238281
49,tas,ts_mean_yr,ssp126,CNRM-ESM2-1,All Models,1.404104232788086
50,tas,ts_mean_yr,ssp126,CNRM-ESM2-1,Model Subset,1.404104232788086
51,tas,ts_mean_yr,ssp126,CanESM5,All Models,1.5555152893066406
52,tas,ts_mean_yr,ssp126,CanESM5-CanOE,All Models,1.6006946563720703
53,tas,ts_mean_yr,ssp126,EC-Earth3,All Models,1.3653440475463867
54,tas,ts_mean_yr,ssp126,EC-Earth3-Veg,All Models,1.3088970184326172
55,tas,ts_mean_yr,ssp126,EC-Earth3-Veg-LR,All Models,1.403468132019043
56,tas,ts_mean_yr,ssp126,FGOALS-f3-L,All Models,0.8804025650024414
57,tas,ts_mean_yr,ssp126,FGOALS-f3-L,Model Subset,0.8804025650024414
58,tas,ts_mean_yr,ssp126,FGOALS-g3,All Models,0.5033378601074219
59,tas,ts_mean_yr,ssp126,FGOALS-g3,Model Subset,0.5033378601074219
60,tas,ts_mean_yr,ssp126,FIO-ESM-2-0,All Models,1.039804458618164
