,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
ACCESS-CM2,1.9710001,,,,,,,,,,,,,,,,,,,
ACCESS-ESM1-5,2.0375001,,,,,,,,,,,,,,,,,,,
AWI-CM-1-1-MR,2.0549998,,,,,,,,,,,,,,,,,,,
AWI-ESM-1-1-LR,2.027,,,,,,,,,,,,,,,,,,,
BCC-CSM2-MR,1.5795001,,,,,,,,,,,,,,,,,,,
BCC-ESM1,1.7419999,,,,,,,,,,,,,,,,,,,
CAMS-CSM1-0,1.8265002,,,,,,,,,,,,,,,,,,,
CAS-ESM2-0,2.2315001,,,,,,,,,,,,,,,,,,,
CESM2,2.3000004,,,,,,,,,,,,,,,,,,,
CESM2-FV2,2.0155,2.0384998,,,,,,,,,,,,,,,,,,
CESM2-WACCM,2.0109997,,,,,,,,,,,,,,,,,,,
CESM2-WACCM-FV2,,2.0775,,,,,,,,,,,,,,,,,,
CIESM,2.4125001,,,,,,,,,,,,,,,,,,,
CMCC-CM2-HR4,,,,,,,,,,,,,,,,,,,,
CMCC-CM2-SR5,2.1955,,,,,,,,,,,,,,,,,,,
CMCC-ESM2,1.9920002,,,,,,,,,,,,,,,,,,,
CNRM-CM6-1,2.2525,,,,,,,,,,,,,,,,,,,
CNRM-CM6-1-HR,2.4935002,,,,,,,,,,,,,,,,,,,
CNRM-ESM2-1,1.8595002,,,,,,,,,,,,,,,,,,,
CanESM5,2.7745001,2.6330001,,,,,,,,,,,,,,,,,,
CanESM5-1,2.171,2.5895002,,,,,,,,,,,,,,,,,,
CanESM5-CanOE,2.6330001,,,,,,,,,,,,,,,,,,,
E3SM-1-0,3.0720003,,,,,,,,,,,,,,,,,,,
E3SM-1-1,,,,,,,,,,,,,,,,,,,,
E3SM-1-1-ECA,,,,,,,,,,,,,,,,,,,,
E3SM-2-0,2.4985,,,,,,,,,,,,,,,,,,,
EC-Earth3,2.6575,,,,,,,,,,,,,,,,,,,
EC-Earth3-AerChem,2.1450002,,,,,,,,,,,,,,,,,,,
EC-Earth3-CC,2.7129998,,,,,,,,,,,,,,,,,,,
EC-Earth3-Veg,2.7010002,,,,,,,,,,,,,,,,,,,
EC-Earth3-Veg-LR,2.4479997,,,,,,,,,,,,,,,,,,,
FGOALS-f3-L,1.934,,,,,,,,,,,,,,,,,,,
FGOALS-g3,1.3975,,,,,,,,,,,,,,,,,,,
FIO-ESM-2-0,2.2105,,,,,,,,,,,,,,,,,,,
GFDL-CM4,2.0914998,,,,,,,,,,,,,,,,,,,
GFDL-ESM4,1.4904999,,,,,,,,,,,,,,,,,,,
GISS-E2-1-G,1.8379999,,1.8264999,,1.72,,1.6990001,,,,,,,,,,,,,
GISS-E2-1-G-CC,,,,,,,,,,,,,,,,,,,,
GISS-E2-1-H,1.9055,2.0095,,,,,,,,,,,,,,,,,,
GISS-E2-2-G,1.734,,,,,,,,,,,,,,,,,,,
GISS-E2-2-H,1.8744999,,,,,,,,,,,,,,,,,,,
HadGEM3-GC31-LL,2.4425004,,,,,,,,,,,,,,,,,,,
HadGEM3-GC31-MM,2.664,,,,,,,,,,,,,,,,,,,
IITM-ESM,1.6795,,,,,,,,,,,,,,,,,,,
INM-CM4-8,1.3349997,,,,,,,,,,,,,,,,,,,
INM-CM5-0,1.3855001,,,,,,,,,,,,,,,,,,,
IPSL-CM5A2-INCA,2.0029998,,,,,,,,,,,,,,,,,,,
IPSL-CM6A-LR,2.362,,,,,,,,,,,,,,,,,,,
IPSL-CM6A-LR-INCA,,,,,,,,,,,,,,,,,,,,
KACE-1-0-G,2.561,,,,,,,,,,,,,,,,,,,
KIOST-ESM,,,,,,,,,,,,,,,,,,,,
MCM-UA-1-0,1.9434999,,,,,,,,,,,,,,,,,,,
MIROC-ES2H,,,,,,,,,,,,,,,,,,,,
MIROC-ES2L,1.5244999,,,,,,,,,,,,,,,,,,,
MIROC6,1.5839999,,,,,,,,,,,,,,,,,,,
MPI-ESM-1-2-HAM,1.7055,,,,,,,,,,,,,,,,,,,
MPI-ESM1-2-HR,1.667,,,,,,,,,,,,,,,,,,,
MPI-ESM1-2-LR,,1.8620001,,,,,,,,,,,,,,,,,,
MRI-ESM2-0,1.6965002,1.648,,,,,,,,,,,,,,,,,,
NESM3,2.575,,,,,,,,,,,,,,,,,,,
NorCPM1,,1.6105,,,,,,,,,,,,,,,,,,
NorESM2-LM,1.5359999,,,,,,,,,,,,,,,,,,,
NorESM2-MM,1.2484999,,,,,,,,,,,,,,,,,,,
SAM0-UNICON,2.1280003,,,,,,,,,,,,,,,,,,,
TaiESM1,2.289,,,,,,,,,,,,,,,,,,,
UKESM1-0-LL,2.8565001,,,,,,,,,,,,,,,,,,,
UKESM1-1-LL,2.596,,,,,,,,,,,,,,,,,,,
