,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
ACCESS-CM2,r1i1p1f1,,,,,,,,,,,,,,,,,,,
ACCESS-ESM1-5,r1i1p1f1,,,,,,,,,,,,,,,,,,,
AWI-CM-1-1-MR,r1i1p1f1,,,,,,,,,,,,,,,,,,,
AWI-ESM-1-1-LR,r1i1p1f1,,,,,,,,,,,,,,,,,,,
BCC-CSM2-MR,r1i1p1f1,,,,,,,,,,,,,,,,,,,
BCC-ESM1,r1i1p1f1,,,,,,,,,,,,,,,,,,,
CAMS-CSM1-0,r1i1p1f1,,,,,,,,,,,,,,,,,,,
CAS-ESM2-0,r1i1p1f1,,,,,,,,,,,,,,,,,,,
CESM2,r1i1p1f1,,,,,,,,,,,,,,,,,,,
CESM2-FV2,r1i2p2f1,r1i1p1f1,,,,,,,,,,,,,,,,,,
CESM2-WACCM,r1i1p1f1,,,,,,,,,,,,,,,,,,,
CESM2-WACCM-FV2,r1i2p2f1,r1i1p1f1,,,,,,,,,,,,,,,,,,
CIESM,r1i1p1f1,,,,,,,,,,,,,,,,,,,
CMCC-CM2-HR4,,,,,,,,,,,,,,,,,,,,
CMCC-CM2-SR5,r1i1p1f1,,,,,,,,,,,,,,,,,,,
CMCC-ESM2,r1i1p1f1,,,,,,,,,,,,,,,,,,,
CNRM-CM6-1,r1i1p1f2,,,,,,,,,,,,,,,,,,,
CNRM-CM6-1-HR,r1i1p1f2,,,,,,,,,,,,,,,,,,,
CNRM-ESM2-1,r1i1p1f2,,,,,,,,,,,,,,,,,,,
CanESM5,r1i1p1f1,r1i1p2f1,,,,,,,,,,,,,,,,,,
CanESM5-1,r1i1p2f1,r1i1p1f1,,,,,,,,,,,,,,,,,,
CanESM5-CanOE,r1i1p2f1,,,,,,,,,,,,,,,,,,,
E3SM-1-0,r1i1p1f1,,,,,,,,,,,,,,,,,,,
E3SM-1-1,r1i1p1f1,,,,,,,,,,,,,,,,,,,
E3SM-1-1-ECA,r1i1p1f1,,,,,,,,,,,,,,,,,,,
E3SM-2-0,r1i1p1f1,,,,,,,,,,,,,,,,,,,
EC-Earth3,r2i1p1f1,r1i1p1f1,,,,,,,,,,,,,,,,,,
EC-Earth3-AerChem,r1i1p1f1,,,,,,,,,,,,,,,,,,,
EC-Earth3-CC,r1i1p1f1,,,,,,,,,,,,,,,,,,,
EC-Earth3-Veg,r1i1p1f1,,,,,,,,,,,,,,,,,,,
EC-Earth3-Veg-LR,r1i1p1f1,,,,,,,,,,,,,,,,,,,
FGOALS-f3-L,r1i1p1f1,,,,,,,,,,,,,,,,,,,
FGOALS-g3,r1i1p1f1,,,,,,,,,,,,,,,,,,,
FIO-ESM-2-0,r1i1p1f1,,,,,,,,,,,,,,,,,,,
GFDL-CM4,r1i1p1f1,,,,,,,,,,,,,,,,,,,
GFDL-ESM4,r1i1p1f1,,,,,,,,,,,,,,,,,,,
GISS-E2-1-G,r1i1p5f1,r1i1p1f2,r102i1p1f1,r1i1p1f3,r101i1p1f1,r1i1p1f1,r1i1p3f1,r2i1p1f1,,,,,,,,,,,,
GISS-E2-1-G-CC,r1i1p1f1,,,,,,,,,,,,,,,,,,,
GISS-E2-1-H,r1i1p1f1,r1i1p3f1,r1i1p1f2,,,,,,,,,,,,,,,,,
GISS-E2-2-G,r1i1p1f1,r1i1p3f1,,,,,,,,,,,,,,,,,,
GISS-E2-2-H,r1i1p1f1,,,,,,,,,,,,,,,,,,,
HadGEM3-GC31-LL,r1i1p1f1,,,,,,,,,,,,,,,,,,,
HadGEM3-GC31-MM,r1i1p1f1,,,,,,,,,,,,,,,,,,,
IITM-ESM,r1i1p1f1,,,,,,,,,,,,,,,,,,,
INM-CM4-8,r1i1p1f1,,,,,,,,,,,,,,,,,,,
INM-CM5-0,r1i1p1f1,,,,,,,,,,,,,,,,,,,
IPSL-CM5A2-INCA,r1i1p1f1,,,,,,,,,,,,,,,,,,,
IPSL-CM6A-LR,r1i1p1f1,r1i2p1f1,,,,,,,,,,,,,,,,,,
IPSL-CM6A-LR-INCA,,,,,,,,,,,,,,,,,,,,
KACE-1-0-G,r1i1p1f1,,,,,,,,,,,,,,,,,,,
KIOST-ESM,r1i1p1f1,,,,,,,,,,,,,,,,,,,
MCM-UA-1-0,r1i1p1f1,,,,,,,,,,,,,,,,,,,
MIROC-ES2H,r1i1p4f2,,,,,,,,,,,,,,,,,,,
MIROC-ES2L,r1i1p1f2,,,,,,,,,,,,,,,,,,,
MIROC6,r1i1p1f1,,,,,,,,,,,,,,,,,,,
MPI-ESM-1-2-HAM,r1i1p1f1,,,,,,,,,,,,,,,,,,,
MPI-ESM1-2-HR,r1i1p1f1,,,,,,,,,,,,,,,,,,,
MPI-ESM1-2-LR,r2i1p1f1,r1i1p1f1,,,,,,,,,,,,,,,,,,
MRI-ESM2-0,r1i1p1f1,r1i2p1f1,,,,,,,,,,,,,,,,,,
NESM3,r1i1p1f1,,,,,,,,,,,,,,,,,,,
NorCPM1,r3i1p1f1,r1i1p1f1,r2i1p1f1,,,,,,,,,,,,,,,,,
NorESM2-LM,r1i1p1f1,,,,,,,,,,,,,,,,,,,
NorESM2-MM,r1i1p1f1,,,,,,,,,,,,,,,,,,,
SAM0-UNICON,r1i1p1f1,,,,,,,,,,,,,,,,,,,
TaiESM1,r1i1p1f1,,,,,,,,,,,,,,,,,,,
UKESM1-0-LL,r1i1p1f2,,,,,,,,,,,,,,,,,,,
UKESM1-1-LL,r1i1p1f2,,,,,,,,,,,,,,,,,,,
