,0
ACCESS-CM2,10
ACCESS-ESM1-5,20
AWI-CM-1-1-MR,5
AWI-ESM-1-1-LR,1
BCC-CSM2-MR,3
BCC-ESM1,3
CAMS-CSM1-0,3
CAS-ESM2-0,4
CESM2,11
CESM2-FV2,4
CESM2-WACCM,3
CESM2-WACCM-FV2,3
CIESM,3
CMCC-CM2-HR4,1
CMCC-CM2-SR5,11
CMCC-ESM2,1
CNRM-CM6-1,20
CNRM-CM6-1-HR,1
CNRM-ESM2-1,11
CanESM5,20
CanESM5-1,20
CanESM5-CanOE,3
E3SM-1-0,5
E3SM-1-1,1
E3SM-1-1-ECA,1
E3SM-2-0,5
EC-Earth3,20
EC-Earth3-AerChem,3
EC-Earth3-CC,10
EC-Earth3-Veg,9
EC-Earth3-Veg-LR,3
FGOALS-f3-L,3
FGOALS-g3,6
FIO-ESM-2-0,3
GFDL-CM4,1
GFDL-ESM4,3
GISS-E2-1-G,20
GISS-E2-1-G-CC,1
GISS-E2-1-H,20
GISS-E2-2-G,11
GISS-E2-2-H,5
HadGEM3-GC31-LL,5
HadGEM3-GC31-MM,4
IITM-ESM,1
INM-CM4-8,1
INM-CM5-0,10
IPSL-CM5A2-INCA,1
IPSL-CM6A-LR,20
IPSL-CM6A-LR-INCA,1
KACE-1-0-G,3
KIOST-ESM,1
MCM-UA-1-0,2
MIROC-ES2H,3
MIROC-ES2L,20
MIROC6,20
MPI-ESM-1-2-HAM,3
MPI-ESM1-2-HR,10
MPI-ESM1-2-LR,20
MRI-ESM2-0,12
NESM3,5
NorCPM1,20
NorESM2-LM,3
NorESM2-MM,3
SAM0-UNICON,1
TaiESM1,2
UKESM1-0-LL,19
UKESM1-1-LL,1
