1850,14.029999732971191
1851,14.039999961853027
1852,14.0
1853,13.970000267028809
1854,13.850000381469727
1855,13.8100004196167
1856,13.899999618530273
1857,14.069999694824219
1858,14.079999923706055
1859,14.029999732971191
1860,14.140000343322754
1861,13.989999771118164
1862,13.729999542236328
1863,13.930000305175781
1864,14.029999732971191
1865,13.9399995803833
1866,13.850000381469727
1867,13.789999961853027
1868,13.850000381469727
1869,13.920000076293945
1870,14.079999923706055
1871,14.029999732971191
1872,14.0
1873,14.0
1874,13.859999656677246
1875,13.850000381469727
1876,14.100000381469727
1877,14.220000267028809
1878,13.960000038146973
1879,13.949999809265137
1880,14.119999885559082
1881,14.210000038146973
1882,14.069999694824219
1883,14.079999923706055
1884,13.779999732971191
1885,13.720000267028809
1886,13.869999885559082
1887,13.899999618530273
1888,13.819999694824219
1889,14.010000228881836
1890,14.170000076293945
1891,14.229999542236328
1892,14.020000457763672
1893,14.050000190734863
1894,14.100000381469727
1895,14.050000190734863
1896,13.960000038146973
1897,14.079999923706055
1898,14.229999542236328
1899,14.09000015258789
1900,14.039999961853027
1901,14.15999984741211
1902,14.010000228881836
1903,13.920000076293945
1904,13.789999961853027
1905,13.84000015258789
1906,13.859999656677246
1907,13.930000305175781
1908,13.949999809265137
1909,13.970000267028809
1910,13.84000015258789
1911,13.829999923706055
1912,13.800000190734863
1913,13.949999809265137
1914,13.979999542236328
1915,13.880000114440918
1916,14.020000457763672
1917,13.949999809265137
1918,13.84000015258789
1919,13.850000381469727
1920,13.880000114440918
1921,14.079999923706055
1922,14.109999656677246
1923,13.960000038146973
1924,14.029999732971191
1925,14.210000038146973
1926,14.15999984741211
1927,14.010000228881836
1928,13.979999542236328
1929,14.029999732971191
1930,14.010000228881836
1931,14.170000076293945
1932,14.279999732971191
1933,14.380000114440918
1934,14.270000457763672
1935,13.869999885559082
1936,13.880000114440918
1937,14.170000076293945
1938,14.149999618530273
1939,14.130000114440918
1940,14.210000038146973
1941,14.210000038146973
1942,14.25
1943,14.359999656677246
1944,13.960000038146973
1945,13.979999542236328
1946,14.119999885559082
1947,13.979999542236328
1948,13.960000038146973
1949,14.180000305175781
1950,14.260000228881836
1951,14.180000305175781
1952,14.1899995803833
1953,14.180000305175781
1954,14.229999542236328
1955,14.180000305175781
1956,14.100000381469727
1957,14.09000015258789
1958,14.180000305175781
1959,14.069999694824219
1960,14.130000114440918
1961,14.010000228881836
1962,14.130000114440918
1963,14.050000190734863
1964,14.050000190734863
1965,13.880000114440918
1966,13.890000343322754
1967,13.850000381469727
1968,13.949999809265137
1969,14.0
1970,14.020000457763672
1971,14.100000381469727
1972,14.0
1973,14.0600004196167
1974,14.100000381469727
1975,14.09000015258789
1976,14.130000114440918
1977,14.09000015258789
1978,14.140000343322754
1979,14.180000305175781
1980,14.270000457763672
1981,14.479999542236328
1982,14.279999732971191
1983,14.0600004196167
1984,13.970000267028809
1985,14.279999732971191
1986,14.270000457763672
1987,14.329999923706055
1988,14.329999923706055
1989,14.210000038146973
1990,14.399999618530273
1991,14.40999984741211
1992,14.210000038146973
1993,14.140000343322754
1994,14.130000114440918
1995,14.260000228881836
1996,14.510000228881836
1997,14.510000228881836
1998,14.600000381469727
1999,14.859999656677246
2000,14.970000267028809
2001,14.739999771118164
2002,14.760000228881836
2003,14.6899995803833
2004,14.819999694824219
2005,14.949999809265137
2006,15.020000457763672
2007,14.829999923706055
2008,14.9399995803833
2009,15.130000114440918
2010,15.050000190734863
2011,15.069999694824219
2012,15.239999771118164
2013,15.0600004196167
2014,15.15999984741211
2015,
2016,
2017,
2018,
2019,
2020,
2021,
2022,
2023,
2024,
2025,
2026,
2027,
2028,
2029,
2030,
2031,
2032,
2033,
2034,
2035,
2036,
2037,
2038,
2039,
2040,
2041,
2042,
2043,
2044,
2045,
2046,
2047,
2048,
2049,
2050,
2051,
2052,
2053,
2054,
2055,
2056,
2057,
2058,
2059,
2060,
2061,
2062,
2063,
2064,
2065,
2066,
2067,
2068,
2069,
2070,
2071,
2072,
2073,
2074,
2075,
2076,
2077,
2078,
2079,
2080,
2081,
2082,
2083,
2084,
2085,
2086,
2087,
2088,
2089,
2090,
2091,
2092,
2093,
2094,
2095,
2096,
2097,
2098,
2099,
