1850,14.010000228881836
1851,14.140000343322754
1852,14.0600004196167
1853,13.920000076293945
1854,14.170000076293945
1855,14.1899995803833
1856,14.229999542236328
1857,13.880000114440918
1858,13.930000305175781
1859,13.970000267028809
1860,14.229999542236328
1861,14.1899995803833
1862,14.079999923706055
1863,14.119999885559082
1864,13.989999771118164
1865,14.050000190734863
1866,14.229999542236328
1867,13.970000267028809
1868,14.180000305175781
1869,14.039999961853027
1870,14.020000457763672
1871,13.979999542236328
1872,14.050000190734863
1873,14.119999885559082
1874,14.100000381469727
1875,14.010000228881836
1876,14.15999984741211
1877,14.329999923706055
1878,14.220000267028809
1879,14.239999771118164
1880,14.09000015258789
1881,14.039999961853027
1882,14.09000015258789
1883,14.289999961853027
1884,13.75
1885,13.90999984741211
1886,13.9399995803833
1887,13.989999771118164
1888,14.020000457763672
1889,14.029999732971191
1890,14.029999732971191
1891,14.050000190734863
1892,14.079999923706055
1893,14.199999809265137
1894,14.479999542236328
1895,14.210000038146973
1896,14.079999923706055
1897,14.100000381469727
1898,14.130000114440918
1899,14.15999984741211
1900,14.1899995803833
1901,14.069999694824219
1902,14.270000457763672
1903,14.1899995803833
1904,14.329999923706055
1905,14.210000038146973
1906,14.239999771118164
1907,14.329999923706055
1908,14.279999732971191
1909,14.119999885559082
1910,14.279999732971191
1911,14.180000305175781
1912,14.210000038146973
1913,14.119999885559082
1914,14.199999809265137
1915,14.130000114440918
1916,14.210000038146973
1917,14.279999732971191
1918,14.3100004196167
1919,14.170000076293945
1920,14.210000038146973
1921,14.119999885559082
1922,14.15999984741211
1923,14.15999984741211
1924,13.970000267028809
1925,14.239999771118164
1926,14.210000038146973
1927,14.15999984741211
1928,14.25
1929,14.220000267028809
1930,14.270000457763672
1931,14.369999885559082
1932,14.199999809265137
1933,14.300000190734863
1934,14.180000305175781
1935,14.239999771118164
1936,14.100000381469727
1937,14.329999923706055
1938,14.289999961853027
1939,14.039999961853027
1940,14.149999618530273
1941,14.25
1942,14.34000015258789
1943,14.3100004196167
1944,14.119999885559082
1945,14.15999984741211
1946,14.0600004196167
1947,14.239999771118164
1948,14.199999809265137
1949,14.210000038146973
1950,14.380000114440918
1951,14.319999694824219
1952,14.210000038146973
1953,14.210000038146973
1954,14.119999885559082
1955,14.319999694824219
1956,14.260000228881836
1957,14.0
1958,14.140000343322754
1959,14.050000190734863
1960,14.0600004196167
1961,14.170000076293945
1962,14.119999885559082
1963,13.979999542236328
1964,13.729999542236328
1965,13.760000228881836
1966,13.869999885559082
1967,13.779999732971191
1968,13.779999732971191
1969,13.869999885559082
1970,14.010000228881836
1971,14.010000228881836
1972,13.890000343322754
1973,14.149999618530273
1974,14.1899995803833
1975,14.010000228881836
1976,14.100000381469727
1977,14.039999961853027
1978,14.25
1979,14.359999656677246
1980,14.40999984741211
1981,14.4399995803833
1982,14.430000305175781
1983,14.359999656677246
1984,14.489999771118164
1985,14.300000190734863
1986,14.40999984741211
1987,14.5
1988,14.489999771118164
1989,14.640000343322754
1990,14.739999771118164
1991,14.600000381469727
1992,14.390000343322754
1993,14.430000305175781
1994,14.399999618530273
1995,14.489999771118164
1996,14.619999885559082
1997,14.699999809265137
1998,14.989999771118164
1999,15.100000381469727
2000,14.899999618530273
2001,15.079999923706055
2002,15.039999961853027
2003,15.210000038146973
2004,15.3100004196167
2005,15.239999771118164
2006,15.119999885559082
2007,15.239999771118164
2008,15.229999542236328
2009,15.460000038146973
2010,15.239999771118164
2011,15.229999542236328
2012,15.479999542236328
2013,15.170000076293945
2014,15.479999542236328
2015,
2016,
2017,
2018,
2019,
2020,
2021,
2022,
2023,
2024,
2025,
2026,
2027,
2028,
2029,
2030,
2031,
2032,
2033,
2034,
2035,
2036,
2037,
2038,
2039,
2040,
2041,
2042,
2043,
2044,
2045,
2046,
2047,
2048,
2049,
2050,
2051,
2052,
2053,
2054,
2055,
2056,
2057,
2058,
2059,
2060,
2061,
2062,
2063,
2064,
2065,
2066,
2067,
2068,
2069,
2070,
2071,
2072,
2073,
2074,
2075,
2076,
2077,
2078,
2079,
2080,
2081,
2082,
2083,
2084,
2085,
2086,
2087,
2088,
2089,
2090,
2091,
2092,
2093,
2094,
2095,
2096,
2097,
2098,
2099,
